Date,Open,High,Low,Close,Volume
8-Sep-15,77.53,77.56,76.24,76.84,9250947
4-Sep-15,77.30,77.63,76.45,76.67,11198114
3-Sep-15,78.70,79.42,77.69,78.26,12260540
2-Sep-15,79.75,79.75,77.23,78.06,14223286
1-Sep-15,78.76,79.39,77.52,78.19,17923702
31-Aug-15,80.01,81.08,77.92,80.99,16868509
28-Aug-15,77.72,81.20,77.58,80.43,23606649
27-Aug-15,75.00,78.12,74.56,77.64,21230205
26-Aug-15,71.72,73.10,70.94,73.09,17233334
25-Aug-15,74.93,75.02,69.84,70.02,20873343
24-Aug-15,70.55,75.38,69.58,72.12,23821044
21-Aug-15,78.87,79.59,75.71,75.76,18347709
20-Aug-15,80.66,81.29,79.24,79.24,11834229
19-Aug-15,82.87,82.91,80.67,80.91,13129019
18-Aug-15,83.08,83.77,82.82,83.44,9093385
17-Aug-15,84.46,84.51,83.11,83.23,12602499
14-Aug-15,85.78,86.42,85.29,85.99,7748930
13-Aug-15,86.03,86.34,85.45,85.85,9562433
12-Aug-15,85.00,87.11,84.92,86.79,11380674
11-Aug-15,84.38,85.98,83.60,85.78,9797380
10-Aug-15,84.20,86.10,83.88,85.89,8342004
7-Aug-15,84.71,85.26,83.43,83.75,7422037
6-Aug-15,83.56,85.58,82.89,85.19,9805030
5-Aug-15,85.44,86.00,83.87,84.03,11254620
4-Aug-15,85.74,86.90,84.68,85.21,8537190
3-Aug-15,87.28,87.33,85.32,85.60,14142213
31-Jul-15,91.52,91.75,88.01,88.48,19063381
30-Jul-15,93.45,93.81,92.75,93.03,6435725
29-Jul-15,91.98,93.40,91.44,93.25,9821523
28-Jul-15,89.45,92.69,89.43,92.40,11536851
27-Jul-15,89.86,90.09,88.74,89.14,10342743
24-Jul-15,92.78,92.78,90.35,90.60,11158429
23-Jul-15,93.57,94.07,92.70,92.94,7360651
22-Jul-15,93.51,94.33,93.29,93.51,9327496
21-Jul-15,93.00,94.14,93.00,93.90,7043079
20-Jul-15,93.30,93.49,92.59,92.94,6018088
17-Jul-15,94.23,94.39,92.90,93.15,8214191
16-Jul-15,94.28,94.73,93.90,94.48,6422701
15-Jul-15,95.04,95.70,93.89,94.24,6490360
14-Jul-15,94.40,95.79,94.39,95.55,5218610
13-Jul-15,94.31,94.89,94.15,94.60,5038824
10-Jul-15,94.53,94.95,94.07,94.41,5631910
9-Jul-15,94.90,95.21,93.76,93.78,7908996
8-Jul-15,94.59,95.09,93.26,93.56,7719125
7-Jul-15,94.41,95.48,93.50,95.27,11774876
6-Jul-15,95.06,95.56,94.48,94.77,8341632
2-Jul-15,96.36,96.67,95.72,95.87,6419079
1-Jul-15,96.30,96.62,95.55,96.09,7295347
30-Jun-15,97.45,97.66,96.22,96.47,9925372
29-Jun-15,97.50,97.96,96.60,96.69,8764550
26-Jun-15,98.24,98.69,97.81,98.60,10015533
25-Jun-15,99.45,99.66,98.29,98.34,6062807
24-Jun-15,99.98,100.68,99.27,99.27,7451884
23-Jun-15,99.96,100.43,99.54,100.09,5697930
22-Jun-15,99.83,100.37,99.37,100.29,6416085
19-Jun-15,99.72,100.17,99.46,99.47,10512046
18-Jun-15,100.26,100.90,100.15,100.25,7167979
17-Jun-15,100.83,101.17,99.52,99.76,8231073
16-Jun-15,99.20,100.44,98.81,100.04,8763706
15-Jun-15,99.45,100.06,99.13,99.29,6178081
12-Jun-15,100.52,100.69,99.63,99.87,6475549
11-Jun-15,101.87,102.20,100.94,101.12,5582880
10-Jun-15,102.52,102.58,101.52,101.83,7588426
9-Jun-15,100.70,101.25,100.22,100.42,7156959
8-Jun-15,101.29,101.39,99.95,100.42,8213862
5-Jun-15,101.18,103.10,100.99,101.59,6080925
4-Jun-15,101.89,102.37,100.98,101.39,6896416
3-Jun-15,102.40,103.38,102.12,102.17,5175666
2-Jun-15,102.65,103.11,102.11,102.58,5040002
1-Jun-15,103.47,103.75,102.49,102.63,5412416
29-May-15,103.14,103.57,102.67,103.00,6673374
28-May-15,102.96,103.42,102.38,103.24,5099925
27-May-15,103.20,103.78,102.73,103.11,5857534
26-May-15,104.22,104.44,102.93,103.29,8010150
22-May-15,105.09,105.55,104.86,104.89,4717179
21-May-15,105.97,106.27,105.30,105.49,6549347
20-May-15,105.42,105.90,104.76,105.25,6521187
19-May-15,106.05,106.31,105.00,105.02,7927644
18-May-15,107.50,107.51,106.58,106.65,6390598
15-May-15,107.21,108.33,106.94,108.03,5641588
14-May-15,108.02,109.30,108.02,108.45,9751666
13-May-15,107.98,108.47,107.30,107.70,5517559
12-May-15,107.44,108.00,107.10,107.56,5026480
11-May-15,108.65,108.69,107.30,107.36,6003613
8-May-15,108.29,108.80,107.40,108.65,7078850
7-May-15,107.69,108.20,106.69,107.57,5798286
6-May-15,109.24,109.53,107.30,107.95,5820403
5-May-15,109.24,109.93,108.00,108.00,6463346
4-May-15,109.38,109.41,107.99,108.32,7660071
1-May-15,110.28,110.80,108.34,109.04,10362711
30-Apr-15,112.04,112.20,110.44,111.06,6666787
29-Apr-15,110.82,111.99,110.68,111.73,5665849
28-Apr-15,110.05,111.24,109.65,111.12,5321604
27-Apr-15,110.34,110.74,109.54,109.70,4858713
24-Apr-15,109.67,110.04,109.03,109.87,4994970
23-Apr-15,110.00,110.65,109.60,109.97,6940005
22-Apr-15,110.05,110.44,109.21,109.50,5643072
21-Apr-15,110.05,110.74,109.31,109.73,5674862
20-Apr-15,109.57,111.71,109.55,110.29,7148830
17-Apr-15,109.36,109.69,108.26,109.11,6548736
16-Apr-15,109.90,110.94,109.00,110.16,5904249
15-Apr-15,109.59,110.69,109.38,110.41,6703965
14-Apr-15,107.70,109.09,107.26,108.84,7262725
13-Apr-15,107.35,107.90,106.44,106.50,4307219
10-Apr-15,107.47,107.66,106.81,106.91,5012178
9-Apr-15,106.80,107.24,106.18,106.95,5760463
8-Apr-15,108.86,108.92,106.52,106.66,7894791
7-Apr-15,106.97,109.09,106.62,108.54,8535966
6-Apr-15,106.03,107.86,105.22,106.92,6723967
2-Apr-15,104.45,105.68,104.08,105.28,5123901
1-Apr-15,105.77,106.22,104.50,104.79,7347231
31-Mar-15,105.62,106.07,104.88,104.98,7254082
30-Mar-15,104.97,107.21,104.97,106.90,7172401
27-Mar-15,104.99,104.99,103.67,104.28,5830340
26-Mar-15,106.28,106.52,104.16,105.25,7276931
25-Mar-15,104.66,106.20,104.33,105.67,9169445
24-Mar-15,105.92,106.19,104.16,104.20,6677767
23-Mar-15,107.51,107.69,105.92,105.92,6807745
20-Mar-15,105.29,107.26,105.11,107.03,14064856
19-Mar-15,105.10,105.40,104.65,104.75,7841872
18-Mar-15,102.61,106.88,102.37,106.70,11059731
17-Mar-15,102.30,103.54,102.10,103.17,7097520
16-Mar-15,101.44,103.27,101.00,103.13,6780238
13-Mar-15,101.84,101.84,100.66,101.62,8345174
12-Mar-15,104.22,104.51,102.30,102.42,5900575
11-Mar-15,103.52,103.89,102.45,103.54,8440653
10-Mar-15,103.79,104.55,102.33,102.91,10679023
9-Mar-15,103.60,105.63,103.50,103.95,7506197
6-Mar-15,104.22,104.52,103.16,103.55,7213295
5-Mar-15,105.01,105.31,104.33,104.73,5156898
4-Mar-15,105.64,105.64,104.44,105.16,5784901
3-Mar-15,105.88,106.22,104.81,105.16,6901215
2-Mar-15,106.32,106.34,104.93,105.90,7343708
27-Feb-15,107.52,107.73,106.57,106.68,6396479
26-Feb-15,107.89,107.92,106.60,107.06,5903095
25-Feb-15,108.12,108.78,107.76,108.58,4806459
24-Feb-15,107.89,108.24,107.34,107.96,5708397
23-Feb-15,107.79,108.50,107.35,107.86,6723971
20-Feb-15,108.43,108.87,107.50,108.60,7610626
19-Feb-15,108.20,109.58,107.24,108.35,9721100
18-Feb-15,111.25,111.65,110.37,110.44,6920274
17-Feb-15,112.31,112.93,111.52,112.40,7097331
13-Feb-15,111.35,112.84,111.10,112.78,7494358
12-Feb-15,110.28,111.05,109.82,110.86,6618029
11-Feb-15,108.98,110.18,108.29,109.98,8662041
10-Feb-15,110.52,110.62,108.09,110.18,7033704
9-Feb-15,109.84,111.50,109.65,110.43,6402999
6-Feb-15,109.66,110.46,109.11,109.61,7655453
5-Feb-15,109.57,110.11,108.57,109.31,7533342
4-Feb-15,108.49,109.28,107.39,108.35,10176015
3-Feb-15,107.70,110.11,107.67,109.53,14266747
2-Feb-15,103.98,106.13,102.97,106.06,11537611
30-Jan-15,101.60,103.28,98.88,102.53,20584736
29-Jan-15,104.24,104.63,101.66,103.00,13994381
28-Jan-15,108.16,108.17,103.42,103.71,10526500
27-Jan-15,108.11,108.81,107.63,108.26,6388680
26-Jan-15,107.22,109.35,106.32,108.88,7670519
23-Jan-15,108.22,108.75,106.73,106.85,7984439
22-Jan-15,108.76,109.12,106.99,108.92,7471142
21-Jan-15,106.79,108.27,106.35,108.16,8271024
20-Jan-15,104.56,106.58,103.81,106.47,10406775
16-Jan-15,102.47,105.14,102.47,105.12,12604555
15-Jan-15,104.41,104.94,102.53,102.67,9664562
14-Jan-15,103.20,104.41,101.83,103.90,14116923
13-Jan-15,106.92,107.66,103.19,104.20,13277742
12-Jan-15,107.47,107.47,105.56,105.88,8912332
9-Jan-15,110.14,110.22,107.67,108.21,9584510
8-Jan-15,109.19,110.44,108.60,110.41,8650761
7-Jan-15,109.25,109.72,107.51,107.94,10353817
6-Jan-15,107.87,109.02,106.48,108.03,11591591
5-Jan-15,110.96,111.20,107.44,108.08,11758103
2-Jan-15,111.63,113.00,110.85,112.58,5907276
